q_bits,n,k,rho,mode,m,ell,s,coset_count,cosets_chosen,radius,log2_list_lower_bound,log2_budget,log2_margin,beats_budget,delta_entropy,delta_volume_grid,capacity_gap,below_capacity
192.0,65536,16384,0.25,folded,1,65536,65536,1,1,0.0,0.0,64.0,-64.0,False,0.745744915016825,0.7457427978515625,0.745744915016825,True
192.0,65536,32768,0.5,folded,1,65536,65536,1,1,0.0,0.0,64.0,-64.0,False,0.4947971597401634,0.4947967529296875,0.4947971597401634,True
192.0,1048576,65536,0.0625,folded,1,1048576,1048576,1,1,0.0,0.0,64.0,-64.0,False,0.9357073249949318,0.9357070922851562,0.9357073249949318,True
192.0,1048576,131072,0.125,folded,1,1048576,1048576,1,1,0.0,0.0,64.0,-64.0,False,0.8721275345097782,0.8721275329589844,0.8721275345097782,True
192.0,1048576,262144,0.25,folded,1,1048576,1048576,1,1,0.0,0.0,64.0,-64.0,False,0.7457401077770237,0.7457399368286133,0.7457401077770237,True
192.0,1048576,524288,0.5,folded,1,1048576,1048576,1,1,0.0,0.0,64.0,-64.0,False,0.4947923921144985,0.49479198455810547,0.4947923921144985,True
256.0,1024,64,0.0625,folded,1,1024,1024,1,1,0.0,0.0,128.0,-128.0,False,0.9366579247292806,0.9365234375,0.9366579247292806,True
256.0,1024,128,0.125,folded,1,1024,1024,1,1,0.0,0.0,128.0,-128.0,False,0.8733469247760021,0.873046875,0.8733469247760021,True
256.0,1024,256,0.25,folded,1,1024,1024,1,1,0.0,0.0,128.0,-128.0,False,0.7473026350697548,0.7470703125,0.7473026350697548,True
256.0,1024,512,0.5,folded,1,1024,1024,1,1,0.0,0.0,128.0,-128.0,False,0.4965821629150981,0.49609375,0.4965821629150981,True
256.0,4096,256,0.0625,folded,1,4096,4096,1,1,0.0,0.0,128.0,-128.0,False,0.9362860753740551,0.936279296875,0.9362860753740551,True
256.0,4096,512,0.125,folded,1,4096,4096,1,1,0.0,0.0,128.0,-128.0,False,0.8729766885897646,0.872802734375,0.8729766885897646,True
256.0,4096,1024,0.25,folded,1,4096,4096,1,1,0.0,0.0,128.0,-128.0,False,0.7469341746888621,0.746826171875,0.7469341746888621,True
256.0,4096,2048,0.5,folded,1,4096,4096,1,1,0.0,0.0,128.0,-128.0,False,0.49621598170196085,0.49609375,0.49621598170196085,True
256.0,65536,4096,0.0625,folded,1,65536,65536,1,1,0.0,0.0,128.0,-128.0,False,0.9361698751739443,0.9361572265625,0.9361698751739443,True
256.0,65536,8192,0.125,folded,1,65536,65536,1,1,0.0,0.0,128.0,-128.0,False,0.872860991226721,0.8728485107421875,0.872860991226721,True
256.0,65536,16384,0.25,folded,1,65536,65536,1,1,0.0,0.0,128.0,-128.0,False,0.7468190316551883,0.7468109130859375,0.7468190316551883,True
256.0,65536,32768,0.5,folded,1,65536,65536,1,1,0.0,0.0,128.0,-128.0,False,0.49610155069271267,0.49609375,0.49610155069271267,True
256.0,1048576,65536,0.0625,folded,1,1048576,1048576,1,1,0.0,0.0,128.0,-128.0,False,0.936162612704391,0.936161994934082,0.936162612704391,True
256.0,1048576,131072,0.125,folded,1,1048576,1048576,1,1,0.0,0.0,128.0,-128.0,False,0.8728537601643543,0.8728532791137695,0.8728537601643543,True
256.0,1048576,262144,0.25,folded,1,1048576,1048576,1,1,0.0,0.0,128.0,-128.0,False,0.7468118352287857,0.7468118667602539,0.7468118352287857,True
256.0,1048576,524288,0.5,folded,1,1048576,1048576,1,1,0.0,0.0,128.0,-128.0,False,0.4960943987644352,0.49609375,0.4960943987644352,True
