p,n,k,rho,m,mode,N,search_alphabet_size,ambient_alphabet_size,code_size,radius,max_list,num_centers,johnson_radius,volume_grid,capacity_entropy,best_center,status
13,6,3,0.5,1,scalar,6,13,13,2197,,,,0.2928932188134524,0.3333333333333333,0.41503649581856583,,"refused: received-word space has 4826809 words, exceeding max_words=2000000"
13,6,3,0.5,2,folded,3,169,169,2197,,,,0.2928932188134524,0.3333333333333333,0.5325777926172716,,"refused: received-word space has 4826809 words, exceeding max_words=2000000"
13,6,3,0.5,2,interleaved,6,,169,,,,,0.2928932188134524,,,,"refused: interleaved code has 4826809 codewords, exceeding max_codewords=200000"
13,6,4,0.6666666666666666,1,scalar,6,13,13,28561,,,,0.18350341907227397,0.16666666666666666,0.2781791786256005,,"refused: received-word space has 4826809 words, exceeding max_words=2000000"
13,6,4,0.6666666666666666,2,folded,3,169,169,28561,,,,0.18350341907227397,0.3333333333333333,0.37179164805127773,,"refused: received-word space has 4826809 words, exceeding max_words=2000000"
13,6,4,0.6666666666666666,2,interleaved,6,,169,,,,,0.18350341907227397,,,,"refused: interleaved code has 815730721 codewords, exceeding max_codewords=200000"
13,6,5,0.8333333333333334,1,scalar,6,13,13,,,,,0.0871290708247231,,,,"refused: scalar code has 371293 codewords, exceeding max_codewords=200000"
17,2,1,0.5,1,scalar,2,17,17,17,0,1,17,0.2928932188134524,1.0,0.9411764705882353,"(0, 0)",ok
17,2,1,0.5,1,scalar,2,17,17,17,1,2,272,0.2928932188134524,1.0,0.9411764705882353,"(0, 1)",ok
17,2,1,0.5,1,scalar,2,17,17,17,2,17,289,0.2928932188134524,1.0,0.9411764705882353,"(0, 0)",ok
17,2,1,0.5,2,folded,1,17,289,17,0,1,17,0.2928932188134524,1.0,0.9965397923875432,"((0, 0),)",ok
17,2,1,0.5,2,folded,1,17,289,17,1,17,17,0.2928932188134524,1.0,0.9965397923875432,"((0, 0),)",ok
17,2,1,0.5,2,interleaved,2,289,289,289,,,,0.2928932188134524,0.5,0.6345302066918224,,"refused: search would require 24137569 center/codeword distance checks, exceeding max_operations=5000000"
17,4,1,0.25,1,scalar,4,17,17,17,0,1,17,0.5,1.0,0.9411764705882353,"(0, 0, 0, 0)",ok
17,4,1,0.25,1,scalar,4,17,17,17,1,1,1105,0.5,1.0,0.9411764705882353,"(0, 0, 0, 0)",ok
17,4,1,0.25,1,scalar,4,17,17,17,2,2,816,0.5,1.0,0.9411764705882353,"(0, 0, 1, 1)",ok
17,4,1,0.25,1,scalar,4,17,17,17,3,4,57120,0.5,1.0,0.9411764705882353,"(0, 1, 2, 3)",ok
17,4,1,0.25,1,scalar,4,17,17,17,4,17,83521,0.5,1.0,0.9411764705882353,"(0, 0, 0, 0)",ok
17,4,1,0.25,2,folded,2,17,289,17,0,1,17,0.5,1.0,0.9965397923875432,"((0, 0), (0, 0))",ok
17,4,1,0.25,2,folded,2,17,289,17,1,2,272,0.5,1.0,0.9965397923875432,"((0, 0), (1, 1))",ok
17,4,1,0.25,2,folded,2,17,289,17,2,17,289,0.5,1.0,0.9965397923875432,"((0, 0), (0, 0))",ok
17,4,1,0.25,2,interleaved,4,289,289,289,,,,0.5,0.75,0.7832148033563946,,"refused: received-word space has 6975757441 words, exceeding max_words=2000000"
17,4,2,0.5,1,scalar,4,17,17,289,,,,0.2928932188134524,0.5,0.516598047003238,,"refused: search would require 24137569 center/codeword distance checks, exceeding max_operations=5000000"
17,4,2,0.5,2,folded,2,289,289,289,,,,0.2928932188134524,0.5,0.6345302066918224,,"refused: search would require 24137569 center/codeword distance checks, exceeding max_operations=5000000"
17,4,2,0.5,2,interleaved,4,289,289,83521,,,,0.2928932188134524,0.5,0.5029855561766609,,"refused: received-word space has 6975757441 words, exceeding max_words=2000000"
17,4,3,0.75,1,scalar,4,17,17,4913,,,,0.1339745962155614,0.25,0.2928418515448205,,"refused: search would require 410338673 center/codeword distance checks, exceeding max_operations=5000000"
17,4,3,0.75,2,folded,2,289,289,4913,,,,0.1339745962155614,0.0,0.382802252752032,,"refused: search would require 410338673 center/codeword distance checks, exceeding max_operations=5000000"
17,4,3,0.75,2,interleaved,4,,289,,,,,0.1339745962155614,,,,"refused: interleaved code has 24137569 codewords, exceeding max_codewords=200000"
17,8,1,0.125,1,scalar,8,17,17,17,,,,0.6464466094067263,1.0,0.9411764705882353,,"refused: received-word space has 6975757441 words, exceeding max_words=2000000"
17,8,1,0.125,2,folded,4,17,289,17,0,1,17,0.6464466094067263,1.0,0.9965397923875432,"((0, 0), (0, 0), (0, 0), (0, 0))",ok
17,8,1,0.125,2,folded,4,17,289,17,1,1,1105,0.6464466094067263,1.0,0.9965397923875432,"((0, 0), (0, 0), (0, 0), (0, 0))",ok
17,8,1,0.125,2,folded,4,17,289,17,2,2,816,0.6464466094067263,1.0,0.9965397923875432,"((0, 0), (0, 0), (1, 1), (1, 1))",ok
17,8,1,0.125,2,folded,4,17,289,17,3,4,57120,0.6464466094067263,1.0,0.9965397923875432,"((0, 0), (1, 1), (10, 10), (11, 11))",ok
17,8,1,0.125,2,folded,4,17,289,17,4,17,83521,0.6464466094067263,1.0,0.9965397923875432,"((0, 0), (0, 0), (0, 0), (0, 0))",ok
17,8,1,0.125,2,interleaved,8,289,289,289,,,,0.6464466094067263,0.875,0.8697642057875921,,"refused: received-word space has 48661191875666868481 words, exceeding max_words=2000000"
17,8,2,0.25,1,scalar,8,17,17,289,,,,0.5,0.625,0.6638643139349429,,"refused: received-word space has 6975757441 words, exceeding max_words=2000000"
17,8,2,0.25,2,folded,4,289,289,289,,,,0.5,0.75,0.7832148033563946,,"refused: received-word space has 6975757441 words, exceeding max_words=2000000"
17,8,2,0.25,2,interleaved,8,289,289,83521,,,,0.5,0.625,0.7060474460793666,,"refused: received-word space has 48661191875666868481 words, exceeding max_words=2000000"
17,8,3,0.375,1,scalar,8,17,17,4913,,,,0.38762756430420553,0.5,0.516598047003238,,"refused: received-word space has 6975757441 words, exceeding max_words=2000000"
17,8,3,0.375,2,folded,4,289,289,4913,,,,0.38762756430420553,0.5,0.6345302066918224,,"refused: received-word space has 6975757441 words, exceeding max_words=2000000"
17,8,3,0.375,2,interleaved,8,,289,,,,,0.38762756430420553,,,,"refused: interleaved code has 24137569 codewords, exceeding max_codewords=200000"
17,8,4,0.5,1,scalar,8,17,17,83521,,,,0.2928932188134524,0.375,0.39645612511256717,,"refused: received-word space has 6975757441 words, exceeding max_words=2000000"
17,8,4,0.5,2,folded,4,289,289,83521,,,,0.2928932188134524,0.5,0.5029855561766609,,"refused: received-word space has 6975757441 words, exceeding max_words=2000000"
17,8,4,0.5,2,interleaved,8,,289,,,,,0.2928932188134524,,,,"refused: interleaved code has 6975757441 codewords, exceeding max_codewords=200000"
17,8,5,0.625,1,scalar,8,17,17,,,,,0.20943058495790512,,,,"refused: scalar code has 1419857 codewords, exceeding max_codewords=200000"
17,8,6,0.75,1,scalar,8,17,17,,,,,0.1339745962155614,,,,"refused: scalar code has 24137569 codewords, exceeding max_codewords=200000"
17,8,7,0.875,1,scalar,8,17,17,,,,,0.06458565330651467,,,,"refused: scalar code has 410338673 codewords, exceeding max_codewords=200000"
